lit_num_id,doi,lit_id,first_author,year,journal,n_compounds,n_blocks,total_datapoints
GLOBlit_168,10.1007/s10765-015-1922-3,2015-and-igl-0,"Andrade, R. S.",2015,Int. J. Thermophys.,3,10,79
GLOBlit_169,10.1007/s10765-015-1927-y,2015-ram-rao-0,"Ramanaiah, S.",2015,Int. J. Thermophys.,4,21,102
GLOBlit_170,10.1007/s10765-015-1980-6,2015-ali-ans-0,"Ali, A.[Anwar]",2015,Int. J. Thermophys.,4,14,296
GLOBlit_171,10.1007/s10765-015-1981-5,2015-kug-rau-0,"Kugler, T.",2015,Int. J. Thermophys.,8,5,51
GLOBlit_172,10.1007/s10765-015-1994-0,2015-tak-yan-0,"Takeda, O.[Osamu]",2015,Int. J. Thermophys.,4,4,74
GLOBlit_173,10.1007/s10765-015-2006-0,2016-kum-sin-1,"Kumar, H.[Harsh]",2016,Int. J. Thermophys.,5,8,788
GLOBlit_174,10.1007/s10765-015-2009-x,2016-rys-rag-0,"Ryshetti, S.[Suresh]",2016,Int. J. Thermophys.,4,3,144
GLOBlit_175,10.1007/s10765-015-2016-y,2016-li-lu-1,"Li, Y.[Yuliang]",2016,Int. J. Thermophys.,3,2,195
GLOBlit_176,10.1007/s10765-016-2061-1,2016-qi-fan-0,"Qi, H.[Haiyan]",2016,Int. J. Thermophys.,1,1,126
GLOBlit_177,10.1007/s10765-016-2064-y,2016-kor-rys-0,"Korotkovskii, V. I.",2016,Int. J. Thermophys.,8,10,260
GLOBlit_178,10.1007/s10765-016-2089-2,2016-cla-tab-0,"Claros, M.[Martha]",2016,Int. J. Thermophys.,2,4,180
GLOBlit_179,10.1007/s10765-016-2096-3,2016-shu-kum-0,"Shukla, R. K.[Rajeev K.]",2016,Int. J. Thermophys.,5,10,50
GLOBlit_180,10.1007/s10765-016-2103-8,2016-sul-mau-0,"Suleman, H.[Humbul]",2016,Int. J. Thermophys.,7,5,203
GLOBlit_181,10.1007/s10765-016-2104-7,2016-dub-sch-0,"Dubberstein, T.",2016,Int. J. Thermophys.,3,3,19
GLOBlit_182,10.1007/s10765-016-2109-2,2016-pol-bat-0,"Polikhronidi, N. G.[Nikolai G.]",2016,Int. J. Thermophys.,1,3,207
GLOBlit_183,10.1007/s10765-016-2150-1,2017-nun-lou-0,"Nunes, V. M. B.",2017,Int. J. Thermophys.,1,1,14
GLOBlit_184,10.1007/s10765-017-2241-7,2017-yon-sat-0,"Yoneda, Y.",2017,Int. J. Thermophys.,1,1,75
GLOBlit_185,10.1007/s10765-017-2256-0,2017-kim-kay-1,"Kimura, T.[Takeru]",2017,Int. J. Thermophys.,2,4,48
GLOBlit_186,10.1007/s10765-017-2283-x,2017-miy-sho-0,"Miyamoto, H.",2017,Int. J. Thermophys.,3,4,63
GLOBlit_187,10.1007/s10765-017-2310-y,2017-mur-miy-0,"Muromachi, S.[Sanehiro]",2017,Int. J. Thermophys.,3,2,54
