meas_num_id,meas_id,method_name,method_type,n_blocks,n_aliases
GLOBmeas_228,adiabatic_solution_calorimeter,adiabatic solution calorimeter,custom,60,1
GLOBmeas_229,visobs_corrimp,VISOBS:corrimp,custom,60,1
GLOBmeas_230,dta_ufactor_4,DTA:UFactor:4,custom,59,1
GLOBmeas_231,synthetic_method,Synthetic method,custom,59,4
GLOBmeas_232,relaxation_calorimetry_quantum_design_ppms,relaxation calorimetry - Quantum Design PPMS,custom,58,3
GLOBmeas_233,laser_beam,laser beam,custom,57,3
GLOBmeas_234,sphere_ufactor_4,SPHERE:UFactor:4,custom,57,2
GLOBmeas_235,spectrophotometric_method,spectrophotometric method,custom,56,1
GLOBmeas_236,vibtub_ufactor_64,VIBTUB:UFactor:64,custom,56,2
GLOBmeas_237,gc,GC,custom,55,1
GLOBmeas_238,phasdia,PHASDIA:,custom,55,3
GLOBmeas_239,pulseh_ufactor_2,PULSEH:UFactor:2,custom,55,2
GLOBmeas_240,abbe_ufactor_6,ABBE:UFactor:6,custom,54,2
GLOBmeas_241,concyl_ufactor_2,CONCYL:UFactor:2,custom,54,1
GLOBmeas_242,uv_vis_spectrophotometer,UV-Vis spectrophotometer,custom,54,6
GLOBmeas_243,dta_ufactor_2,DTA:UFactor:2,custom,53,1
GLOBmeas_244,laser_monitoring_observation,laser monitoring observation,custom,53,3
GLOBmeas_245,laser_monitoring_system,laser monitoring system,custom,53,3
GLOBmeas_246,pulse_heating,pulse heating,custom,53,3
GLOBmeas_247,vadiac_ufactor_8,VADIAC:UFactor:8,custom,53,1
GLOBmeas_248,chemical_analysis,chemical analysis,custom,52,3
GLOBmeas_249,gravimetric_microbalance,gravimetric microbalance,custom,51,3
GLOBmeas_250,chrom_ufactor_6,CHROM:UFactor:6,custom,50,1
GLOBmeas_251,ringte_ufactor_2,RINGTE:UFactor:2,custom,50,2
GLOBmeas_252,titr_ufactor_4,TITR:UFactor:4,custom,50,1
GLOBmeas_253,gravimetric_method_mass_balance,Gravimetric method + Mass balance,custom,48,1
GLOBmeas_254,calvet_ufactor_4,CALVET:UFactor:4,custom,47,1
GLOBmeas_255,flow_apparatus_with_low_residence_time,Flow apparatus with low residence time,custom,47,1
GLOBmeas_256,abbe_monoch,ABBE:monoch,custom,46,1
GLOBmeas_257,laser_monitoring_technique,laser monitoring technique,custom,46,3
GLOBmeas_258,vibtub_mpoint,VIBTUB:mpoint,custom,46,2
